sample,obs,beta_current_oil,p_current_oil,beta_lagged_oil,p_lagged_oil,beta_fx_lag,p_fx_lag,r_squared,corr_oil_fx
Full sample (2010-01-04 to latest),3983.0,0.014073412378617072,0.005682865300129228,0.0030663236580301253,0.32875904144573476,0.0209594668512629,0.2135056506798555,0.005783279573590039,0.07122640605418182
Pre-2022 sample,2966.0,0.01615544231442184,0.009359022977908436,0.0011839422203937923,0.7493621197970901,0.027967537774016744,0.1426950757181862,0.007996230866771259,0.08470893148802455
2022+ sample,1016.0,0.003853228831792864,0.7088294718783561,0.011948590047935984,0.07945922715638522,-0.003731568702839659,0.9177050502840854,0.0032804953094831557,0.020198607625942083
